"ID","Priority","Device Name","Alarm Name","Alarm Details","Start Time (Client Local) India Standard Time","Start Time (Device Local)","End Time (Client Local) India Standard Time","End Time (Device Local)"
"2807",201,"POWERHOUSE_1.B_BLOCK_UPS","Communication Status","Communications restored","2026-01-02 21:15:24.244","2026-01-02 21:15:24.244 (India Standard Time)","2026-01-02 21:24:56.300","2026-01-02 21:24:56.300 (India Standard Time)"
"2808",201,"POWERHOUSE_1.D_BLOCK","Communication Status","Communications restored","2026-01-02 21:15:40.624","2026-01-02 21:15:40.624 (India Standard Time)","2026-01-02 21:24:41.673","2026-01-02 21:24:41.673 (India Standard Time)"
"2809",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Communications restored","2026-01-02 21:15:48.881","2026-01-02 21:15:48.881 (India Standard Time)","2026-01-02 21:25:19.866","2026-01-02 21:25:19.866 (India Standard Time)"
"2810",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2026-01-05 16:40:37.500","2026-01-05 16:40:37.500 (India Standard Time)","2026-01-11 08:00:08.152","2026-01-11 08:00:08.152 (India Standard Time)"
"2812",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2026-01-08 09:24:24.172","2026-01-08 09:24:24.172 (India Standard Time)","2026-01-08 10:23:29.971","2026-01-08 10:23:29.971 (India Standard Time)"
"2813",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2026-01-08 10:26:00.290","2026-01-08 10:26:00.290 (India Standard Time)","2026-01-11 07:54:42.018","2026-01-11 07:54:42.018 (India Standard Time)"
"2814",201,"POWERHOUSE_1.D_BLOCK","Communication Status","Communications restored","2026-01-11 07:49:23.578","2026-01-11 07:49:23.578 (India Standard Time)","2026-01-11 07:58:24.990","2026-01-11 07:58:24.990 (India Standard Time)"
"2815",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2026-01-11 07:49:59.738","2026-01-11 07:49:59.738 (India Standard Time)","2026-01-11 07:59:00.692","2026-01-11 07:59:00.692 (India Standard Time)"
"2818",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Communications restored","2026-01-11 07:53:07.916","2026-01-11 07:53:07.916 (India Standard Time)","2026-01-11 08:02:08.772","2026-01-11 08:02:08.772 (India Standard Time)"
"2819",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2026-01-11 07:58:12.371","2026-01-11 07:58:12.371 (India Standard Time)","2026-01-19 09:09:01.742","2026-01-19 09:09:01.742 (India Standard Time)"
"2823",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2026-01-19 09:06:20.081","2026-01-19 09:06:20.081 (India Standard Time)","2026-01-19 11:05:34.494","2026-01-19 11:05:34.494 (India Standard Time)"
"2824",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2026-01-19 09:06:52.360","2026-01-19 09:06:52.360 (India Standard Time)","2026-01-19 11:06:04.490","2026-01-19 11:06:04.490 (India Standard Time)"
"2825",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Communications restored","2026-01-19 11:05:01.100","2026-01-19 11:05:01.100 (India Standard Time)","2026-01-19 11:14:02.284","2026-01-19 11:14:02.284 (India Standard Time)"
"2826",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2026-01-19 11:09:11.390","2026-01-19 11:09:11.390 (India Standard Time)","2026-01-19 16:27:50.953","2026-01-19 16:27:50.953 (India Standard Time)"
"2827",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Communications restored","2026-01-19 16:26:37.781","2026-01-19 16:26:37.781 (India Standard Time)","2026-01-19 16:35:42.634","2026-01-19 16:35:42.634 (India Standard Time)"
"2828",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2026-01-19 16:26:59.450","2026-01-19 16:26:59.450 (India Standard Time)","2026-01-19 17:46:05.909","2026-01-19 17:46:05.909 (India Standard Time)"
"2829",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2026-01-19 16:27:12.117","2026-01-19 16:27:12.117 (India Standard Time)","2026-01-19 17:46:19.101","2026-01-19 17:46:19.101 (India Standard Time)"
"2833",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Communications restored","2026-01-19 17:43:30.945","2026-01-19 17:43:30.945 (India Standard Time)","2026-01-19 17:52:31.908","2026-01-19 17:52:31.908 (India Standard Time)"
"2835",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2026-01-19 17:44:55.121","2026-01-19 17:44:55.121 (India Standard Time)","2026-01-20 05:14:14.966","2026-01-20 05:14:14.966 (India Standard Time)"
"2836",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2026-01-20 05:13:36.119","2026-01-20 05:13:36.119 (India Standard Time)","2026-01-20 05:22:36.928","2026-01-20 05:22:36.928 (India Standard Time)"
"2837",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2026-01-20 05:13:44.968","2026-01-20 05:13:44.968 (India Standard Time)","2026-01-20 05:22:45.732","2026-01-20 05:22:45.732 (India Standard Time)"
"2838",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Communications restored","2026-01-20 05:16:25.460","2026-01-20 05:16:25.460 (India Standard Time)","2026-01-20 05:25:28.567","2026-01-20 05:25:28.567 (India Standard Time)"
"2839",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2026-01-20 05:20:23.787","2026-01-20 05:20:23.787 (India Standard Time)","2026-01-20 18:19:27.679","2026-01-20 18:19:27.679 (India Standard Time)"
"2841",201,"POWERHOUSE_1.LIGHTING","Communication Status","Communications restored","2026-01-20 18:11:51.530","2026-01-20 18:11:51.530 (India Standard Time)","2026-01-20 18:20:52.612","2026-01-20 18:20:52.612 (India Standard Time)"
"2840",201,"POWERHOUSE_1.D_BLOCK","Communication Status","Communications restored","2026-01-20 18:11:51.850","2026-01-20 18:11:51.850 (India Standard Time)","2026-01-20 18:21:11.767","2026-01-20 18:21:11.767 (India Standard Time)"
