"ID","Priority","Active","Type","Name","Source","Unacknowledged","Last Occurrence (Client Local) India Standard Time","Last Occurrence (Device Local)","Last Acknowledged (Client Local) India Standard Time","Last Acknowledged (Device Local)","First Occurrence (Client Local) India Standard Time","First Occurrence (Device Local)","Occurrences"
"2",128,1,"Backup Power","Setpoint 7 Status – Real Power Total@POWERHOUSE_1.B_BLOCK_UPS","VIP.DDD",262,"2026-01-28 09:30:47.000","2026-01-27 20:00:47.000 (Pacific Standard Time)","2024-05-06 14:19:55.248","2024-05-06 01:49:55.248 (Pacific Daylight Time)","2023-11-30 13:31:03.000","2023-11-30 00:01:03.000 (Pacific Standard Time)",288
"3",128,1,"General Setpoint","Setpoint 8 Status – Real Power Total@POWERHOUSE_1.E_BLOCK","VIP.DDD",91,"2026-01-28 09:30:48.000","2026-01-27 20:00:48.000 (Pacific Standard Time)","2024-05-06 14:19:55.248","2024-05-06 01:49:55.248 (Pacific Daylight Time)","2023-11-30 13:31:03.000","2023-11-30 00:01:03.000 (Pacific Standard Time)",100
"114",201,1,"Communication Status","Communication Status","POWERHOUSE_1.DG_1",211,"2026-01-28 09:36:11.704","2026-01-28 09:36:11.704 (India Standard Time)","2024-05-06 14:20:00.923","2024-05-06 14:20:00.923 (India Standard Time)","2023-12-01 07:59:41.201","2023-12-01 07:59:41.201 (India Standard Time)",266
