"ID","Priority","Device Name","Alarm Name","Start Time (Client Local) India Standard Time","Start Time (Device Local)","End Time (Client Local) India Standard Time","End Time (Device Local)"
"1759",194,"POWERHOUSE_1.DG_1","","2025-11-03 14:07:57.548","2025-11-03 14:07:57.548 (India Standard Time)","2025-11-26 10:24:04.715","2025-11-26 10:24:04.715 (India Standard Time)"
"1777",194,"POWERHOUSE_1.DG_1","","2025-12-04 09:14:45.397","2025-12-04 09:14:45.397 (India Standard Time)","2025-12-21 09:24:04.462","2025-12-21 09:24:04.462 (India Standard Time)"
"1784",194,"POWERHOUSE_1.DG_1","","2025-12-24 00:47:19.320","2025-12-24 00:47:19.320 (India Standard Time)","2025-12-24 09:53:44.157","2025-12-24 09:53:44.157 (India Standard Time)"
"1788",194,"POWERHOUSE_1.DG_1","","2025-12-24 10:15:44.871","2025-12-24 10:15:44.871 (India Standard Time)","2026-01-08 09:24:43.774","2026-01-08 09:24:43.774 (India Standard Time)"
"1799",194,"POWERHOUSE_1.DG_1","","2026-01-11 08:00:20.490","2026-01-11 08:00:20.490 (India Standard Time)","2026-01-20 05:23:32.128","2026-01-20 05:23:32.128 (India Standard Time)"
"1813",194,"POWERHOUSE_1.DG_1","","2026-01-21 08:30:33.355","2026-01-21 08:30:33.355 (India Standard Time)","2026-01-26 07:24:08.240","2026-01-26 07:24:08.240 (India Standard Time)"
"1820",194,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","","2026-01-25 11:32:49.569","2026-01-25 11:32:49.569 (India Standard Time)","2026-01-25 12:53:53.866","2026-01-25 12:53:53.866 (India Standard Time)"
